U.S. Imports of Crude Oil and Petroleum Products Weekly,
https://www.eia.gov/opendata/qb.php?sdid=PET.WTTIMUS2.W,
09:48:24 GMT-0800 (Pacific Standard Time),
Source: U.S. Energy Information Administration,
Week of,Series ID: PET.WTTIMUS2.W Thousand Barrels per Day
11/4/2016,9232
11/11/2016,10907
11/18/2016,9951
11/25/2016,10061
12/2/2016,10515
12/9/2016,9344
12/16/2016,10225
12/23/2016,9876
12/30/2016,9428
1/6/2017,11121
1/13/2017,10655
1/20/2017,10290
1/27/2017,10302
2/3/2017,11916
2/10/2017,10479
2/17/2017,9485
2/24/2017,9911
3/3/2017,10446
3/10/2017,9558
3/17/2017,10284
3/24/2017,10604
3/31/2017,10022
4/7/2017,9333
4/14/2017,9793
4/21/2017,11280
4/28/2017,10297
5/5/2017,10179
5/12/2017,10636
5/19/2017,10494
5/26/2017,10222
6/2/2017,10633
6/9/2017,9816
6/16/2017,10142
6/23/2017,9832
6/30/2017,10033
7/7/2017,9421
7/14/2017,9972
7/21/2017,10128
7/28/2017,10079
8/4/2017,10368
8/11/2017,10266
8/18/2017,10662
8/25/2017,10496
9/1/2017,8913
9/8/2017,8433
9/15/2017,9422
9/22/2017,10342
9/29/2017,9774
10/6/2017,9801
10/13/2017,9716
10/20/2017,9819
10/27/2017,9629
11/3/2017,9550
11/10/2017,9981
11/17/2017,9795
11/24/2017,9100
12/1/2017,9170
12/8/2017,9623
12/15/2017,10315
12/22/2017,10157
12/29/2017,9843
1/5/2018,9592
1/12/2018,9535
1/19/2018,10290
1/26/2018,11245
2/2/2018,10163
2/9/2018,9834
2/16/2018,8937
2/23/2018,9105
3/2/2018,10587
3/9/2018,9582
3/16/2018,8934
3/23/2018,10314
3/30/2018,10604
4/6/2018,10554
4/13/2018,9770
4/20/2018,10520
4/27/2018,10779
5/4/2018,9855
5/11/2018,9773
5/18/2018,11018
5/25/2018,10291
6/1/2018,10207
6/8/2018,10712
6/15/2018,10139
6/22/2018,10400
6/29/2018,11382
7/6/2018,9324
7/13/2018,11121
7/20/2018,10255
7/27/2018,10045
8/3/2018,10225
8/10/2018,11121
8/17/2018,10121
8/24/2018,10158
8/31/2018,10024
9/7/2018,10519
9/14/2018,10353
9/21/2018,10082
9/28/2018,10463
10/5/2018,9805
10/12/2018,9723
10/19/2018,9383
10/26/2018,9043
11/2/2018,9443
11/9/2018,9093
11/16/2018,9386
11/23/2018,10096
11/30/2018,8838
12/7/2018,9136
12/14/2018,9235
12/21/2018,9498
12/28/2018,9008
1/4/2019,9931
1/11/2019,9922
1/18/2019,10312
1/25/2019,8707
2/1/2019,9908
2/8/2019,8172
2/15/2019,9436
2/22/2019,8002
3/1/2019,8911
3/8/2019,8898
3/15/2019,9048
3/22/2019,8761
3/29/2019,8870
4/5/2019,8635
4/12/2019,8706
4/19/2019,10000
4/26/2019,9668
5/3/2019,9227
5/10/2019,9769
5/17/2019,9700
5/24/2019,9424
5/31/2019,10533
6/7/2019,10172
6/14/2019,9571
6/21/2019,8701
6/28/2019,9272
7/5/2019,9988
7/12/2019,9225
7/19/2019,9633
7/26/2019,9333
8/2/2019,9764
8/9/2019,10358
8/16/2019,9441
8/23/2019,8574
8/30/2019,9165
9/6/2019,8541
9/13/2019,8909
9/20/2019,8788
9/27/2019,8274
10/4/2019,8590
10/11/2019,8202
10/18/2019,7998
10/25/2019,9201
11/1/2019,8463
